Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),TZ_AMPHITHEATER:Zone Mean Air Temperature [C](TimeStep),TZ_AMPHITHEATER:Zone Air CO2 Concentration [ppm](TimeStep),HTG HVAC 1 ADJUSTED BY 1.1 F:Schedule Value [](TimeStep),CLG HVAC 1 ADJUSTED BY 0 F:Schedule Value [](TimeStep),AHUS ONOFF:Schedule Value [](TimeStep),HOT_WATER_TEMPERATURE 1:Schedule Value [](TimeStep),MAISON DU SAVOIR AUDITORIUM OCC:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Electricity:HVAC [J](TimeStep),Electricity:Plant [J](TimeStep),Fans:Electricity [J](TimeStep),Heating:DistrictHeatingWater [J](TimeStep),HeatingCoils:EnergyTransfer [J](TimeStep),Pumps:Electricity [J](TimeStep) 
 02/01  00:15:00,9.15,6.375,83.0,8.25,222.5,0.0,0.0,12.057967983866615,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  00:30:00,9.0,6.050000000000001,82.0,8.5,225.0,0.0,0.0,11.996967573823936,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  00:45:00,8.85,5.7250000000000005,81.0,8.75,227.5,0.0,0.0,11.917323960367986,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  01:00:00,8.7,5.4,80.0,9.0,230.0,0.0,0.0,11.837540870275255,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  01:15:00,8.674999999999999,5.425000000000001,80.25,8.875,230.0,0.0,0.0,11.790444050490729,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  01:30:00,8.649999999999999,5.45,80.5,8.75,230.0,0.0,0.0,11.770519091695727,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  01:45:00,8.625,5.475,80.75,8.625,230.0,0.0,0.0,11.75959923976813,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  02:00:00,8.6,5.5,81.0,8.5,230.0,0.0,0.0,11.747561120417542,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  02:15:00,8.575,5.5,81.0,8.5,230.0,0.0,0.0,11.733202144445903,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  02:30:00,8.55,5.5,81.0,8.5,230.0,0.0,0.0,11.718291329095067,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  02:45:00,8.525,5.5,81.0,8.5,230.0,0.0,0.0,11.70387089924541,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  03:00:00,8.5,5.5,81.0,8.5,230.0,0.0,0.0,11.689907168437282,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  03:15:00,8.475,5.475,81.0,8.5,230.0,0.0,0.0,11.676065881672418,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  03:30:00,8.45,5.45,81.0,8.5,230.0,0.0,0.0,11.662169208391708,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  03:45:00,8.425,5.425000000000001,81.0,8.5,230.0,0.0,0.0,11.648209281730102,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  04:00:00,8.4,5.4,81.0,8.5,230.0,0.0,0.0,11.6342242894547,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  04:15:00,8.350000000000001,5.3500000000000005,81.0,8.425,229.25,0.0,0.0,11.61441448813726,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  04:30:00,8.3,5.300000000000001,81.0,8.35,228.5,0.0,0.0,11.589382872375204,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  04:45:00,8.25,5.25,81.0,8.274999999999999,227.75,0.0,0.0,11.562363026061174,400.0,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  05:00:00,8.2,5.2,81.0,8.2,227.0,0.0,0.0,11.535326471660895,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  05:15:00,8.149999999999999,5.175000000000001,81.25,8.274999999999999,227.0,0.0,0.0,11.508613250128615,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  05:30:00,8.1,5.15,81.5,8.35,227.0,0.0,0.0,11.481935465226124,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  05:45:00,8.05,5.125,81.75,8.425,227.0,0.0,0.0,11.455107432355229,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  06:00:00,8.0,5.1,82.0,8.5,227.0,0.0,0.0,11.428128218444302,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  06:15:00,8.075,5.1,81.5,8.375,227.75,0.0,0.0,11.430045701061157,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  06:30:00,8.15,5.1,81.0,8.25,228.5,0.0,0.0,11.457820581587715,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  06:45:00,8.225000000000001,5.1,80.5,8.125,229.25,0.0,0.0,11.495454414041877,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  07:00:00,8.3,5.1,80.0,8.0,230.0,0.0,0.0,11.533196739345307,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  07:15:00,8.175,5.0249999999999995,80.25,8.0,227.5,6.0,0.0,11.522869201372586,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  07:30:00,8.05,4.949999999999999,80.5,8.0,225.0,8.0,0.0,11.470635845034266,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  07:45:00,7.925,4.875,80.75,8.0,222.5,20.0,0.0,11.403274083309961,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  08:00:00,7.8,4.8,81.0,8.0,220.0,32.0,0.0,11.33652975481868,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  08:15:00,7.75,4.875,81.75,8.25,222.5,44.0,0.0,11.29021245468143,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  08:30:00,7.699999999999999,4.949999999999999,82.5,8.5,225.0,56.0,0.0,11.259960790841244,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  08:45:00,7.6499999999999995,5.0249999999999995,83.25,8.75,227.5,70.0,2.25,11.234588989784777,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  09:00:00,7.6,5.1,84.0,9.0,230.0,84.0,4.5,11.208250018775095,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  09:15:00,7.6,5.125,84.25,8.75,230.0,98.0,6.75,11.192005335362174,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  09:30:00,7.6,5.15,84.5,8.5,230.0,112.0,9.0,11.185721478095205,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  09:45:00,7.6,5.175000000000001,84.75,8.25,230.0,117.5,23.75,11.183583261474794,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  10:00:00,7.6,5.2,85.0,8.0,230.0,123.0,38.5,11.181688434004233,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  10:15:00,7.499999999999999,5.15,85.25,8.25,240.0,128.5,53.25,11.156139176488251,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  10:30:00,7.4,5.1,85.5,8.5,250.0,134.0,68.0,11.10996912691087,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  10:45:00,7.300000000000001,5.05,85.75,8.75,260.0,138.75,160.25,11.056368003302765,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  11:00:00,7.2,5.0,86.0,9.0,270.0,143.5,252.5,11.003097162423902,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  11:15:00,7.275,5.025,85.75,8.5,265.0,148.25,344.75,10.991513751831127,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  11:30:00,7.35,5.05,85.5,8.0,260.0,153.0,437.0,11.015881809530148,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  11:45:00,7.425,5.074999999999999,85.25,7.5,255.0,152.25,435.0,11.053062035348724,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  12:00:00,7.5,5.1,85.0,7.0,250.0,151.5,433.0,11.089742997345393,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  12:15:00,7.8,5.3999999999999995,85.0,7.0,247.5,150.75,431.0,11.17576748864231,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  12:30:00,8.1,5.699999999999999,85.0,7.0,245.0,150.0,429.0,11.307931025499599,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  12:45:00,8.399999999999999,6.0,85.0,7.0,242.5,146.0,329.25,11.459386228964208,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  13:00:00,8.7,6.3,85.0,7.0,240.0,142.0,229.5,11.613140417264683,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  13:15:00,8.899999999999999,6.425,84.5,6.75,240.0,138.0,129.75,11.742500490542556,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  13:30:00,9.1,6.55,84.0,6.5,240.0,134.0,30.0,11.851612751729034,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  13:45:00,9.3,6.675,83.5,6.25,240.0,123.5,23.75,11.954552269812798,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  14:00:00,9.5,6.8,83.0,6.0,240.0,113.0,17.5,12.059244386460431,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  14:15:00,9.575,6.6499999999999995,81.75,6.5,240.0,102.5,11.25,12.13724537145508,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  14:30:00,9.65,6.5,80.5,7.0,240.0,92.0,5.0,12.189502973762329,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  14:45:00,9.725000000000001,6.3500000000000005,79.25,7.5,240.0,77.5,3.75,12.23106365206127,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  15:00:00,9.8,6.2,78.0,8.0,240.0,63.0,2.5,12.272116763362902,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  15:15:00,9.825000000000001,6.2250000000000005,78.0,7.5,240.0,48.5,1.25,12.303121449350517,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  15:30:00,9.850000000000001,6.25,78.0,7.0,240.0,34.0,0.0,12.323828726739505,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  15:45:00,9.875,6.2749999999999995,78.0,6.5,240.0,25.5,0.0,12.339743008165405,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  16:00:00,9.9,6.3,78.0,6.0,240.0,17.0,0.0,12.354966000516846,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  16:15:00,9.875,6.225,77.75,6.25,240.0,8.5,0.0,12.358796272326373,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  16:30:00,9.850000000000001,6.15,77.5,6.5,240.0,0.0,0.0,12.351863626381602,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  16:45:00,9.825000000000001,6.075,77.25,6.75,240.0,0.0,0.0,12.340314708195214,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  17:00:00,9.8,6.0,77.0,7.0,240.0,0.0,0.0,12.328300105449163,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  17:15:00,9.55,6.025,78.5,6.75,235.0,0.0,0.0,12.263404441796437,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  17:30:00,9.3,6.05,80.0,6.5,230.0,0.0,0.0,12.149792565970623,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  17:45:00,9.05,6.074999999999999,81.5,6.25,225.0,0.0,0.0,12.016911011753635,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  18:00:00,8.8,6.1,83.0,6.0,220.0,0.0,0.0,11.883909757737992,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  18:15:00,8.75,6.1,83.25,5.75,220.0,0.0,0.0,11.80166991420306,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  18:30:00,8.7,6.1,83.5,5.5,220.0,0.0,0.0,11.76295192868557,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  18:45:00,8.649999999999999,6.1,83.75,5.25,220.0,0.0,0.0,11.739684467871387,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  19:00:00,8.6,6.1,84.0,5.0,220.0,0.0,0.0,11.715419529073143,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  19:15:00,8.524999999999999,6.1,84.5,5.25,215.0,0.0,0.0,11.681818287190621,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  19:30:00,8.45,6.1,85.0,5.5,210.0,0.0,0.0,11.64201760593396,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  19:45:00,8.375,6.1,85.5,5.75,205.0,0.0,0.0,11.600928079071576,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  20:00:00,8.3,6.1,86.0,6.0,200.0,0.0,0.0,11.560567072604282,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  20:15:00,8.275,6.074999999999999,86.0,5.75,202.5,0.0,0.0,11.532422864820726,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  20:30:00,8.25,6.05,86.0,5.5,205.0,0.0,0.0,11.514741079359796,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  20:45:00,8.225,6.025,86.0,5.25,207.5,0.0,0.0,11.500851249655106,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  21:00:00,8.2,6.0,86.0,5.0,210.0,0.0,0.0,11.48684339015626,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  21:15:00,8.299999999999999,6.1,86.0,5.0,210.0,0.0,0.0,11.501070363644677,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  21:30:00,8.399999999999999,6.2,86.0,5.0,210.0,0.0,0.0,11.541202206701824,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  21:45:00,8.5,6.300000000000001,86.0,5.0,210.0,0.0,0.0,11.591641953091658,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  22:00:00,8.6,6.4,86.0,5.0,210.0,0.0,0.0,11.642610555531594,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  22:15:00,8.7,6.450000000000001,85.75,5.5,212.5,0.0,0.0,11.692220726306974,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  22:30:00,8.8,6.5,85.5,6.0,215.0,0.0,0.0,11.741763140044052,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  22:45:00,8.9,6.549999999999999,85.25,6.5,217.5,0.0,0.0,11.792147593427504,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  23:00:00,9.0,6.6,85.0,7.0,220.0,0.0,0.0,11.843406333457683,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  23:15:00,9.075,6.624999999999999,84.75,7.25,220.0,0.0,0.0,11.88937275014038,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  23:30:00,9.15,6.65,84.5,7.5,220.0,0.0,0.0,11.930376753092364,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  23:45:00,9.225000000000001,6.675000000000001,84.25,7.75,220.0,0.0,0.0,11.969558370885592,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/01  24:00:00,9.3,6.7,84.0,8.0,220.0,0.0,0.0,12.008949765009586,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  00:15:00,9.425,6.6000000000000005,82.75,8.25,222.5,0.0,0.0,12.060754264746947,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  00:30:00,9.55,6.5,81.5,8.5,225.0,0.0,0.0,12.123746338507733,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  00:45:00,9.675,6.3999999999999995,80.25,8.75,227.5,0.0,0.0,12.191325800660357,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  01:00:00,9.8,6.3,79.0,9.0,230.0,0.0,0.0,12.259472175784492,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  01:15:00,9.825000000000001,6.25,78.5,8.75,232.5,0.0,0.0,12.303604691914819,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  01:30:00,9.850000000000001,6.199999999999999,78.0,8.5,235.0,0.0,0.0,12.325948384705853,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  01:45:00,9.875,6.1499999999999995,77.5,8.25,237.5,0.0,0.0,12.33978141875993,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  02:00:00,9.9,6.1,77.0,8.0,240.0,0.0,0.0,12.353506458010276,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  02:15:00,9.875,6.124999999999999,77.25,8.0,240.0,0.0,0.0,12.356890659461689,400.0000000000001,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  02:30:00,9.850000000000001,6.15,77.5,8.0,240.0,0.0,0.0,12.349791179177032,400.0000000000002,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  02:45:00,9.825000000000001,6.175000000000001,77.75,8.0,240.0,0.0,0.0,12.337885408787427,400.0000000000003,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  03:00:00,9.8,6.2,78.0,8.0,240.0,0.0,0.0,12.325324798250822,400.00000000000017,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
 02/02  03:15:00,9.675,6.2,78.75,8.0,240.0,0.0,0.0,12.289483660575764,400.00000000000006,16.6111111111111,30.0,1.0,67.0,0.0,5254725.06156889,5037597.120157812,0.0,5037597.120157812,0.0,0.0,0.0 
